,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
2817,Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64.0,17.0,8.7,13.0,Dearsoft,E
2830,NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.6,9.0,EA Canada,E
2834,Tiger Woods PGA Tour 07,PS2,2006.0,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,79.0,33.0,6,8.0,EA Redwood Shores,E
2837,Major League Baseball 2K7,X360,2007.0,Sports,Spike,0.67,0.0,0.0,0.06,0.72,79.0,31.0,7.1,34.0,Kush Games,E
2840,MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,17.0,7.7,205.0,SCEA San Diego Studios,E
2845,Madden NFL 10,Wii,2009.0,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,77.0,23.0,7.2,24.0,EA Tiburon,E
2846,MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,90.0,27.0,8.1,61.0,SCEA San Diego Studios,E
2849,Madden NFL 11,Wii,,Sports,Unknown,0.68,0.0,0.0,0.04,0.72,75.0,6.0,5.4,7.0,EA Tiburon,E
2854,MLB 10: The Show,PS3,2010.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,91.0,33.0,8.3,107.0,SCEA,E
2862,Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,92.0,16.0,8.3,16.0,EA Tiburon,E
2863,Skate,X360,2007.0,Sports,Electronic Arts,0.62,0.03,0.0,0.06,0.71,86.0,59.0,8.4,137.0,EA Black Box,T
2880,Madden NFL 08,PSP,2007.0,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,75.0,10.0,6.8,8.0,EA Tiburon,E
2885,Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,68.0,8.0,6.5,4.0,EA Tiburon,E
2887,NBA Live 09,X360,2008.0,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,77.0,32.0,7.4,14.0,EA Canada,E
2893,NCAA Football 09,X360,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,83.0,24.0,7.7,26.0,EA Tiburon,E
2895,SSX,X360,2012.0,Sports,Electronic Arts,0.38,0.26,0.0,0.06,0.7,82.0,65.0,6.4,186.0,EA Canada,E
2898,Tony Hawk's Underground,GC,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7,89.0,19.0,8.5,24.0,Neversoft Entertainment,T
2901,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,81.0,30.0,7.8,44.0,EA Sports,E
2908,Madden NFL 2005,GC,2004.0,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,90.0,26.0,tbd,,EA Tiburon,E
2911,NCAA Football 98,PS,1997.0,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7,,,,,,
2914,FIFA Soccer 11,DS,2010.0,Sports,Electronic Arts,0.13,0.49,0.0,0.08,0.7,63.0,5.0,tbd,,EA Sports,E
2918,NHL 12,X360,2011.0,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,86.0,56.0,7,72.0,Electronic Arts,E10+
2921,NCAA Football 2001,PS,2000.0,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7,,,,,,
2927,MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,SCEA San Diego Studios,E
2947,MotionSports,X360,2010.0,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,Ubisoft Milan,T
2951,J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,,,,,,
2953,NFL Xtreme,PS,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,,,,,,
2964,Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,2K Czech,E
2972,NBA Street Vol. 2,XB,2003.0,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89.0,22.0,8.8,24.0,Electronic Arts,E
2976,NCAA Football 2005,XB,2004.0,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89.0,29.0,8,12.0,EA Sports,E
2982,Hot Shots Golf: Open Tee 2,PSP,2007.0,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,82.0,42.0,8.6,12.0,Clap Hanz,E
2987,FIFA Soccer 06,XB,2005.0,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,39.0,7.5,22.0,EA Canada,E
2999,Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,,,,,,
3010,London 2012: The Official Video Game of the Olympic Games,PS3,2012.0,Sports,Sega,0.06,0.48,0.0,0.14,0.67,,,,,,
3016,Summer Sports: Paradise Island (Others sales),Wii,2008.0,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,,,,,,
3019,Virtua Tennis: World Tour (US & Others sales),PSP,2005.0,Sports,Sega,0.16,0.36,0.0,0.14,0.67,,,,,,
3029,NFL Street,XB,2004.0,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81.0,38.0,8.8,9.0,EA Tiburon,E
3036,Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66,65.0,6.0,6.6,17.0,Page 44 Studios,T
3039,MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61.0,21.0,7.9,9.0,989 Sports,E
3042,Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66,,,,,,
3044,NCAA March Madness 2003,PS2,2002.0,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74.0,13.0,8,27.0,NuFX,E
3049,Jikkyou World Soccer 2000 Final Edition,PS2,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.66,0.0,0.66,,,,,,
3053,NHL 10,X360,2009.0,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88.0,52.0,8.4,71.0,EA Canada,E10+
3061,NHL 13,X360,2012.0,Sports,Electronic Arts,0.51,0.1,0.0,0.05,0.66,83.0,44.0,6.6,86.0,Electronic Arts,E10+
3064,Madden NFL 10,PSP,2009.0,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66,,,7.8,5.0,EA Tiburon,E
3083,Animaniacs Ten Pin Alley,PS,1998.0,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,,,,,,
3090,Shaun White Snowboarding,PS3,2008.0,Sports,Ubisoft,0.31,0.23,0.01,0.1,0.65,63.0,30.0,6.3,26.0,Ubisoft Montreal,T
3092,The Biggest Loser: Challenge,Wii,2010.0,Sports,THQ,0.48,0.12,0.0,0.05,0.65,,,tbd,,Blitz Games Studios,E
3100,Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.65,82.0,34.0,7.2,9.0,EA Tiburon,E
3104,Tiger Woods PGA Tour 09,X360,2008.0,Sports,Electronic Arts,0.35,0.23,0.0,0.07,0.65,84.0,41.0,7.8,29.0,EA Tiburon,E
3119,Tiger Woods PGA Tour 10,X360,2009.0,Sports,Electronic Arts,0.39,0.2,0.0,0.06,0.65,80.0,51.0,6.9,20.0,EA Tiburon,E
3139,WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,5.0,4,65.0,Yuke's,T
3144,NBA Live 06,XB,2005.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64,79.0,30.0,6.4,15.0,EA Canada,E
3150,Football Manager 2014,PC,2013.0,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,275.0,Sports Interactive,E
3164,Madden NFL 2001,N64,2000.0,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64,,,,,,
3166,NHL 13,PS3,2012.0,Sports,Electronic Arts,0.33,0.21,0.0,0.09,0.64,84.0,22.0,6.8,60.0,Electronic Arts,E10+
3180,Tony Hawk's Pro Skater 2x,XB,2001.0,Sports,Activision,0.41,0.19,0.0,0.03,0.63,78.0,24.0,8.8,5.0,Treyarch,T
3181,NBA Live 08,PS3,2007.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.63,73.0,28.0,6.8,10.0,EA Canada,E
3183,FIFA Soccer 2003,XB,2002.0,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63,88.0,11.0,7.7,11.0,EA Canada,E
3204,FIFA Soccer 2002,PS2,2001.0,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63,82.0,17.0,5.8,28.0,EA Sports,E
3211,NHL 2001,PS,2000.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63,88.0,10.0,7.7,7.0,Page 44 Studios,E
3214,NHL 16,PS4,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,78.0,28.0,5.5,157.0,"EA Sports, EA Canada",E10+
3217,Cabela's Big Game Hunter (2008),Wii,2007.0,Sports,Activision,0.58,0.0,0.0,0.05,0.63,,,tbd,,MagicWand,T
3218,Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.3,0.22,0.01,0.1,0.63,76.0,43.0,7.2,14.0,Neversoft Entertainment,T
3224,Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62,77.0,40.0,7.7,15.0,Neversoft Entertainment,T
3227,NBA ShootOut '97,PS,1997.0,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62,,,,,,
3229,Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62,82.0,14.0,9.2,5.0,EA Tiburon,E
3232,Tiger Woods PGA Tour 2004,XB,2003.0,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62,89.0,18.0,8.2,14.0,EA Sports,E
3245,Strike Force Bowling,PS2,2004.0,Sports,Play It,0.3,0.24,0.0,0.08,0.62,48.0,14.0,6.8,4.0,Lab Rats Games,E
3248,Bass Landing,PS,1999.0,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62,,,,,,
3262,NFL Quarterback Club 99,N64,1998.0,Sports,Acclaim Entertainment,0.59,0.02,0.0,0.0,0.62,,,,,,
3264,Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.4,0.16,0.0,0.05,0.62,80.0,50.0,6.1,25.0,Electronic Arts,E
3271,2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E
3273,NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,82.0,30.0,7,37.0,Visual Concepts,E
3276,NFL Fever 2003,XB,2002.0,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,72.0,25.0,8.6,12.0,Microsoft Game Studios,E
3300,Tony Hawk: RIDE,X360,2009.0,Sports,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3,67.0,Robomodo,E10+
3302,Major League Baseball 2K8,X360,2008.0,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34.0,Kush Games,E
3304,pro evolution soccer 2011,X360,2010.0,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33.0,Konami,E
3305,Major League Baseball 2K9,X360,2009.0,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26.0,2K Sports,E
3308,Madden NFL 2003,GBA,2002.0,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61,76.0,5.0,tbd,,BudCat,E
3314,Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61,89.0,12.0,tbd,,EA Sports,E
3316,Madden NFL 2000,N64,1999.0,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.61,,,,,,
3321,Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.57,0.0,0.0,0.03,0.61,,,tbd,,FUN Labs,T
3322,Tony Hawk's Underground,GBA,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6,86.0,9.0,7.7,9.0,Vicarious Visions,E
3335,Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios,E10+
3336,NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,7.0,6,9.0,Visual Concepts,E
3347,International Superstar Soccer 64,N64,1997.0,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6,,,,,,
3365,WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T
3370,NHL 15,PS4,2014.0,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports,E10+
3372,Major League Baseball 2K7,PS2,2007.0,Sports,Spike,0.29,0.23,0.0,0.08,0.6,71.0,5.0,tbd,,Kush Games,E
3381,FIFA 15,PSV,2014.0,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,,,3.1,42.0,EA Sports,E
3382,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59,,,,,,
3384,Tony Hawk: RIDE,PS3,2009.0,Sports,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo,E10+
3385,CyberTiger,PS,1998.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59,,,,,,
3389,NFL Blitz 2001,PS,2000.0,Sports,Midway Games,0.33,0.22,0.0,0.04,0.59,70.0,6.0,tbd,,Midway,E
3390,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,,,,,,
3392,NHL 11,PS3,2010.0,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts,E10+
3395,2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports,E
3396,MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,90.0,31.0,8.5,19.0,EA Sports,E
3399,Beijing 2008,X360,2008.0,Sports,Sega,0.15,0.38,0.0,0.07,0.59,,,,,,
3401,WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's,T
3403,Ready 2 Rumble Boxing,N64,1999.0,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,,,,,,
3406,Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,73.0,42.0,7.8,47.0,Team Ninja,M
3413,Madden NFL 06,X360,,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,74.0,48.0,4.9,44.0,EA Tiburon,E
3418,Backyard NBA Basketball,PS2,2003.0,Sports,Atari,0.29,0.22,0.0,0.07,0.59,,,,,,
3421,Kirby's Dream Course,SNES,1994.0,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59,,,,,,
3441,NCAA Football 09,PS3,2008.0,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.3,25.0,EA Tiburon,E
3443,MLB 11: The Show,PS3,2011.0,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,90.0,30.0,7.8,87.0,SCEA San Diego Studios,E
3447,Sammy Sosa High Heat Baseball 2001,PS,2000.0,Sports,3DO,0.32,0.22,0.0,0.04,0.58,,,,,,
3454,NBA 2K7,X360,2006.0,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,84.0,46.0,7.8,67.0,"Kush Games, Visual Concepts",E
3455,International Superstar Soccer '98,N64,1998.0,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58,,,,,,
3456,FIFA: Road to  World Cup 98,N64,1997.0,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58,,,,,,
3457,World Cup 98,N64,1998.0,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,,,,,,
3458,NHL 12,PS3,2011.0,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,86.0,33.0,7.5,52.0,Electronic Arts,E10+
3467,FIFA Soccer 10,DS,2009.0,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.58,,,7.6,5.0,Exient Entertainment,E
3475,FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,45.0,7.2,79.0,Electronic Arts,E
3477,Tony Hawk's Pro Skater 4,GC,2002.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58,91.0,19.0,8.6,21.0,Neversoft Entertainment,T
3480,NHL 06,PS2,2005.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,78.0,27.0,8.5,29.0,EA Canada,E10+
3482,NFL Blitz 2000,N64,1999.0,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58,,,,,,
3483,Skate it,Wii,2008.0,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,70.0,37.0,8.4,25.0,Electronic Arts,E
3484,Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,,,7.8,34.0,Konami,E
3485,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.44,0.0,0.07,0.58,,,,,,
3486,Madden NFL 2002,XB,,Sports,Unknown,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,EA Sports,E
3487,NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,,,tbd,,EA Tiburon,E
3492,Tony Hawk's Pro Skater 4,GBA,2002.0,Sports,Activision,0.41,0.15,0.0,0.01,0.57,85.0,13.0,8.8,4.0,Vicarious Visions,E
3504,Cabela's Dangerous Hunts 2011,Wii,2010.0,Sports,Activision,0.52,0.02,0.0,0.04,0.57,,,tbd,,Activision,T
3506,Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,86.0,21.0,8.5,11.0,EA Sports,E
3514,NBA Hangtime,N64,1997.0,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57,,,,,,
3515,NHL 10,PS3,2009.0,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,88.0,35.0,7.9,40.0,EA Canada,E10+
3516,Zumba Fitness,PS3,2010.0,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,,,3.8,4.0,"Pipeworks Software, Inc.",E
3520,Rapala: We Fish,Wii,2009.0,Sports,Activision,0.52,0.01,0.0,0.04,0.57,,,tbd,,Activision,E
3522,WWE 2K15,XOne,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63.0,Yuke's,T
3524,FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,28.0,8.1,33.0,EA Canada,E
3558,Arena Football,PS2,2006.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,66.0,18.0,8.6,14.0,EA Tiburon,E10+
3560,NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,78.0,18.0,7.6,8.0,Black Box,E
3564,NCAA March Madness 07,PS2,2007.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,63.0,9.0,8.6,7.0,EA Canada,E
3570,Cabela's Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,Activision,0.28,0.21,0.0,0.07,0.56,55.0,4.0,8.4,16.0,Sand Grain Studios,T
3577,All-Star Baseball 2002,PS2,2001.0,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77.0,16.0,7.6,8.0,Acclaim Studios Austin,E
3578,Backyard NFL Football,GBA,2002.0,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56,,,,,,
3580,Jillian Michaels Fitness Ultimatum 2010,Wii,2009.0,Sports,Majesco Entertainment,0.51,0.01,0.0,0.04,0.56,,,tbd,,Collision Studios,E
3589,Tony Hawk's Project 8,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14.0,Page 44 Studios,T
3594,Tony Hawk's Proving Ground,X360,2007.0,Sports,Activision,0.49,0.02,0.0,0.04,0.56,72.0,59.0,5.4,44.0,Neversoft Entertainment,T
3600,ESPN NFL Football,PS2,2003.0,Sports,Sega,0.27,0.21,0.0,0.07,0.56,91.0,20.0,8.5,25.0,Visual Concepts,E
3602,Major League Baseball 2K5,XB,2005.0,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,81.0,25.0,8.2,17.0,Kush Games,E
3611,FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,,,4.3,12.0,EA Sports,E
3615,NCAA Football 07,XB,2006.0,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56,88.0,20.0,6.9,10.0,EA Sports,E
3619,NBA Showtime: NBA on NBC,PS,1999.0,Sports,Midway Games,0.31,0.21,0.0,0.04,0.55,,,,,,
3631,The Activision Decathlon,2600,1982.0,Sports,Activision,0.52,0.03,0.0,0.01,0.55,,,,,,
3639,Derby Stallion 04,PS2,2004.0,Sports,Enterbrain,0.0,0.0,0.55,0.0,0.55,,,,,,
3640,Rapala Tournament Fishing!,Wii,2006.0,Sports,Activision,0.51,0.0,0.0,0.04,0.55,,,,,,
3641,Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,0.15,0.11,0.25,0.05,0.55,76.0,55.0,8.1,77.0,Clap Hanz,E
3642,Tony Hawk's Pro Skater 3,XB,2002.0,Sports,Activision,0.34,0.18,0.0,0.02,0.55,93.0,22.0,8.4,17.0,Neversoft Entertainment,T
3648,NBA 2K8,PS3,2007.0,Sports,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55,81.0,18.0,6.8,19.0,Visual Concepts,E
3658,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002.0,Sports,Sega,0.0,0.0,0.55,0.0,0.55,,,,,,
3673,Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,Activision,0.5,0.0,0.0,0.04,0.55,,,tbd,,Activision,E
3684,NHL 14,PS3,2013.0,Sports,Electronic Arts,0.28,0.17,0.0,0.09,0.54,80.0,22.0,6,79.0,Electronic Arts,E10+
3686,FIFA Soccer 07,XB,2006.0,Sports,Electronic Arts,0.16,0.35,0.0,0.04,0.54,,,,,,
3687,Gekikuukan Pro Yakyuu: At the End of the Century 1999,PS2,2000.0,Sports,SquareSoft,0.0,0.0,0.54,0.0,0.54,,,,,,
3690,Tiger Woods PGA Tour 08,X360,2007.0,Sports,Electronic Arts,0.49,0.02,0.0,0.04,0.54,80.0,45.0,7.8,26.0,EA Salt Lake,E
3702,Tiger Woods PGA Tour 13,PS3,2012.0,Sports,Electronic Arts,0.24,0.21,0.0,0.08,0.54,75.0,14.0,5.7,9.0,Electronic Arts,E
3706,FIFA 99,N64,1998.0,Sports,Electronic Arts,0.11,0.39,0.0,0.03,0.54,,,,,,
3710,Tony Hawk: Shred,Wii,2010.0,Sports,Activision,0.39,0.11,0.0,0.04,0.54,,,7,7.0,Robomodo,E
3711,Tiger Woods PGA Tour 11,Wii,2010.0,Sports,Electronic Arts,0.23,0.25,0.0,0.06,0.54,84.0,29.0,8.3,23.0,EA Sports,E
3712,NBA Live 10,PS3,2009.0,Sports,Electronic Arts,0.46,0.02,0.01,0.05,0.54,81.0,32.0,7.5,25.0,EA Canada,E
3721,SSX Tricky,GC,2001.0,Sports,Electronic Arts,0.42,0.11,0.0,0.01,0.54,87.0,20.0,8.6,18.0,EA Sports Big,E
3723,World Soccer Winning Eleven 7 International (JP version),PS2,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.54,0.0,0.54,,,,,,
3724,ESPN NBA Basketball,PS2,2003.0,Sports,Sega,0.26,0.21,0.0,0.07,0.54,89.0,18.0,8.4,38.0,Visual Concepts,E
3729,Mat Hoffman's Pro BMX,PS,2001.0,Sports,Activision,0.3,0.2,0.0,0.04,0.54,80.0,15.0,8.6,16.0,Shaba Games,E
3733,NHL 14,X360,2013.0,Sports,Electronic Arts,0.4,0.09,0.0,0.05,0.54,81.0,30.0,5.9,92.0,Electronic Arts,E10+
3739,NBA Street Vol. 2,GC,,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54,88.0,16.0,8.1,7.0,Electronic Arts,E
3742,Summer Sports: Paradise Island,Wii,2008.0,Sports,Ubisoft,0.48,0.01,0.0,0.04,0.53,46.0,7.0,4.6,7.0,Destineer,E
3747,NCAA March Madness 06,PS2,2005.0,Sports,Electronic Arts,0.45,0.02,0.0,0.07,0.53,78.0,19.0,9.1,13.0,EA Canada,E
3756,NCAA March Madness 2005,PS2,2004.0,Sports,Electronic Arts,0.44,0.02,0.0,0.07,0.53,78.0,19.0,8.3,13.0,EA Canada,E
3762,MLB SlugFest 20-04,PS2,2003.0,Sports,Midway Games,0.26,0.2,0.0,0.07,0.53,78.0,23.0,8.3,8.0,Midway,E
3765,Blitz: The League,XB,2004.0,Sports,Midway Games,0.4,0.11,0.0,0.02,0.53,78.0,30.0,7.7,14.0,Midway,M
3770,Virtual Soccer,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.53,0.0,0.53,,,,,,
3774,Winning Post,SNES,1993.0,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,,,,,,
3780,NBA 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,63.0,26.0,6.3,27.0,SCEA Sports Studio,E
3806,J-League Soccer: Prime Goal 2,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.53,0.0,0.53,,,,,,
3809,Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53,,,,,,
3814,Mario Tennis: Power Tour,GBA,2005.0,Sports,Nintendo,0.24,0.09,0.19,0.01,0.52,81.0,21.0,8,25.0,Camelot Software Planning,E
3825,Tiger Woods PGA Tour 11,X360,2010.0,Sports,Electronic Arts,0.28,0.19,0.0,0.05,0.52,79.0,51.0,7.8,19.0,EA Sports,E
3832,NBA Live 08,X360,2007.0,Sports,Electronic Arts,0.47,0.0,0.0,0.04,0.52,73.0,37.0,5.3,19.0,EA Canada,E
3836,NCAA Football 2003,XB,2002.0,Sports,Electronic Arts,0.39,0.11,0.0,0.02,0.52,90.0,14.0,8.2,15.0,EA Sports,E
3838,Madden NFL 07,PS3,2006.0,Sports,Electronic Arts,0.47,0.0,0.01,0.04,0.52,76.0,25.0,4.2,22.0,EA Tiburon,E
